Char,Sentiment_score,Unicode_name
🌓,0.591,FIRST_QUARTER_MOON_SYMBOL
🔒,0.182,LOCK
╬,-0.136,BOX_DRAWINGS_DOUBLE_VERTICAL_AND_HORIZONTAL
👳,0.619,MAN_WITH_TURBAN
🌂,0.238,CLOSED_UMBRELLA
🚌,0.190,BUS
♩,0.524,QUARTER_NOTE
🍡,-0.048,DANGO
❥,0.238,ROTATED_HEAVY_BLACK_HEART_BULLET
🎡,0.286,FERRIS_WHEEL
💌,0.500,LOVE_LETTER
🐩,0.350,POODLE
🌜,0.500,LAST_QUARTER_MOON_WITH_FACE
⌚,0.200,WATCH
🚿,0.600,SHOWER
🐖,0.150,PIG
🔆,0.550,HIGH_BRIGHTNESS_SYMBOL
🌛,0.550,FIRST_QUARTER_MOON_WITH_FACE
💂,-0.150,GUARDSMAN
🐔,0.300,CHICKEN
🙎,-0.050,PERSON_WITH_POUTING_FACE
🏩,0.421,LOVE_HOTEL
🇫,0.474,REGIONAL_INDICATOR_SYMBOL_LETTER_F
🔨,-0.105,HAMMER
📢,0.421,PUBLIC_ADDRESS_LOUDSPEAKER
🐦,0.421,BIRD
🐲,-0.053,DRAGON_FACE
♻,0.474,BLACK_UNIVERSAL_RECYCLING_SYMBOL
🌘,0.579,WANING_CRESCENT_MOON_SYMBOL
🍐,0.158,PEAR
🌔,0.579,WAXING_GIBBOUS_MOON_SYMBOL
╥,0.105,BOX_DRAWINGS_DOWN_DOUBLE_AND_HORIZONTAL_SINGLE
❊,0.000,EIGHT_TEARDROP-SPOKED_PROPELLER_ASTERISK
👖,0.333,JEANS
🚺,0.167,WOMENS_SYMBOL
😗,0.611,KISSING_FACE
🎭,0.000,PERFORMING_ARTS
🐄,0.278,COW
◟,-0.056,LOWER_LEFT_QUADRANT_CIRCULAR_ARC
🍢,-0.111,ODEN
🎨,0.167,ARTIST_PALETTE
⬇,0.389,DOWNWARDS_BLACK_ARROW
🚼,0.556,BABY_SYMBOL
⛲,0.056,FOUNTAIN
▁,0.000,LOWER_ONE_EIGHTH_BLOCK
🇴,0.333,REGIONAL_INDICATOR_SYMBOL_LETTER_O
🌗,0.611,LAST_QUARTER_MOON_SYMBOL
🌖,0.611,WANING_GIBBOUS_MOON_SYMBOL
🔅,0.833,LOW_BRIGHTNESS_SYMBOL
👜,0.235,HANDBAG
🐌,0.647,SNAIL
💼,0.529,BRIEFCASE
🚕,0.000,TAXI
🐹,0.294,HAMSTER_FACE
🌠,0.529,SHOOTING_STAR
🐈,0.294,CAT
⇧,0.118,UPWARDS_WHITE_ARROW
☎,0.000,BLACK_TELEPHONE
🌁,0.176,FOGGY
⚫,0.235,MEDIUM_BLACK_CIRCLE
♧,0.471,WHITE_CLUB_SUIT
🏰,0.294,EUROPEAN_CASTLE
🚵,0.353,MOUNTAIN_BICYCLIST
🎢,0.471,ROLLER_COASTER
🎷,0.647,SAXOPHONE
🎐,0.176,WIND_CHIME
┈,-0.588,BOX_DRAWINGS_LIGHT_QUADRUPLE_DASH_HORIZONTAL
╗,0.353,BOX_DRAWINGS_DOUBLE_DOWN_AND_LEFT
╱,0.000,BOX_DRAWINGS_LIGHT_DIAGONAL_UPPER_RIGHT_TO_LOWER_LEFT
🌇,0.500,SUNSET_OVER_BUILDINGS
⏰,0.438,ALARM_CLOCK
⇩,0.000,DOWNWARDS_WHITE_ARROW
🚂,0.250,STEAM_LOCOMOTIVE
◠,0.438,UPPER_HALF_CIRCLE
